Firstname;Lastname;Shirtnumber;Team;Total Points
Alexander;Schlager;1;Österreich;4
Pavao;Pervan;12;Österreich;4
Jörg;Siebenhandl;13;Österreich;4
Andreas;Ulmer;2;Österreich;4
Aleksandar;Dragovic;3;Österreich;4
Martin;Hinteregger;4;Österreich;4
Stefan;Posch;5;Österreich;4
Philipp;Lienhart;15;Österreich;4
Stefan;Lainer;21;Österreich;4
Christopher;Trimmel;99;Österreich;4
Stefan;Ilsanker;6;Österreich;4
David;Alaba;8;Österreich;4
Marcel;Sabitzer;9;Österreich;4
Florian;Grillitsch;10;Österreich;4
Julian;Baumgartlinger;14;Österreich;4
Thomas;Goiginger;16;Österreich;4
Konrad;Laimer;18;Österreich;4
Valentino;Lazaro;22;Österreich;4
Louis;Schaub;23;Österreich;4
Marko;Arnautovic;7;Österreich;4
Michael;Gregoritsch;11;Österreich;4
Lukas;Hinterseer;19;Österreich;4
Karim;Onisiwo;20;Österreich;4
